sku_id,week_start,weekly_sales_units,promotion_days,holiday_days,days_recorded,promotion_active_week,holiday_active_week,category,lead_time_days,unit_cost,selling_price,weekly_revenue,weekly_cogs
SKU_HEALTHY,2026-06-15,53,0,0,7,0,0,Lighting,5,35.0,79.99,4239.47,1855.0
SKU_HEALTHY,2026-06-22,53,1,0,7,1,0,Lighting,5,35.0,79.99,4239.47,1855.0
SKU_HEALTHY,2026-06-29,48,0,1,7,0,1,Lighting,5,35.0,79.99,3839.52,1680.0
SKU_HEALTHY,2026-07-06,56,1,0,7,1,0,Lighting,5,35.0,79.99,4479.44,1960.0
SKU_HEALTHY,2026-07-13,52,0,0,7,0,0,Lighting,5,35.0,79.99,4159.48,1820.0
SKU_HEALTHY,2026-07-20,55,1,0,7,1,0,Lighting,5,35.0,79.99,4399.45,1925.0
SKU_HEALTHY,2026-07-27,57,1,0,7,1,0,Lighting,5,35.0,79.99,4559.43,1995.0
SKU_HEALTHY,2026-08-03,51,1,0,7,1,0,Lighting,5,35.0,79.99,4079.49,1785.0
SKU_HEALTHY,2026-08-10,52,1,0,7,1,0,Lighting,5,35.0,79.99,4159.48,1820.0
SKU_HEALTHY,2026-08-17,52,1,0,7,1,0,Lighting,5,35.0,79.99,4159.48,1820.0
SKU_HEALTHY,2026-08-24,31,0,0,4,0,0,Lighting,5,35.0,79.99,2479.69,1085.0
SKU_REORDER,2026-04-27,30,1,0,3,1,0,Furniture,5,120.0,249.99,7499.7,3600.0
SKU_REORDER,2026-05-04,69,2,0,7,1,0,Furniture,5,120.0,249.99,17249.31,8280.0
SKU_REORDER,2026-05-11,62,0,0,7,0,0,Furniture,5,120.0,249.99,15499.38,7440.0
SKU_REORDER,2026-05-18,69,1,0,7,1,0,Furniture,5,120.0,249.99,17249.31,8280.0
SKU_REORDER,2026-05-25,73,2,1,7,1,1,Furniture,5,120.0,249.99,18249.27,8760.0
SKU_REORDER,2026-06-01,71,1,0,7,1,0,Furniture,5,120.0,249.99,17749.29,8520.0
SKU_REORDER,2026-06-08,66,1,0,7,1,0,Furniture,5,120.0,249.99,16499.34,7920.0
SKU_REORDER,2026-06-15,71,0,0,7,0,0,Furniture,5,120.0,249.99,17749.29,8520.0
SKU_REORDER,2026-06-22,69,1,0,7,1,0,Furniture,5,120.0,249.99,17249.31,8280.0
SKU_REORDER,2026-06-29,74,0,1,7,0,1,Furniture,5,120.0,249.99,18499.26,8880.0
SKU_REORDER,2026-07-06,72,1,0,7,1,0,Furniture,5,120.0,249.99,17999.28,8640.0
SKU_REORDER,2026-07-13,63,0,0,7,0,0,Furniture,5,120.0,249.99,15749.37,7560.0
SKU_REORDER,2026-07-20,75,1,0,7,1,0,Furniture,5,120.0,249.99,18749.25,9000.0
SKU_REORDER,2026-07-27,58,1,0,7,1,0,Furniture,5,120.0,249.99,14499.42,6960.0
SKU_REORDER,2026-08-03,78,1,0,7,1,0,Furniture,5,120.0,249.99,19499.22,9360.0
SKU_REORDER,2026-08-10,66,1,0,7,1,0,Furniture,5,120.0,249.99,16499.34,7920.0
SKU_REORDER,2026-08-17,66,1,0,7,1,0,Furniture,5,120.0,249.99,16499.34,7920.0
SKU_REORDER,2026-08-24,41,0,0,4,0,0,Furniture,5,120.0,249.99,10249.59,4920.0
SKU_WATCH,2026-04-27,36,1,0,3,1,0,Textiles,10,45.0,89.99,3239.64,1620.0
SKU_WATCH,2026-05-04,107,2,0,7,1,0,Textiles,10,45.0,89.99,9628.93,4815.0
SKU_WATCH,2026-05-11,106,0,0,7,0,0,Textiles,10,45.0,89.99,9538.94,4770.0
SKU_WATCH,2026-05-18,127,1,0,7,1,0,Textiles,10,45.0,89.99,11428.73,5715.0
SKU_WATCH,2026-05-25,67,2,1,7,1,1,Textiles,10,45.0,89.99,6029.33,3015.0
SKU_WATCH,2026-06-01,106,1,0,7,1,0,Textiles,10,45.0,89.99,9538.94,4770.0
SKU_WATCH,2026-06-08,114,1,0,7,1,0,Textiles,10,45.0,89.99,10258.86,5130.0
SKU_WATCH,2026-06-15,118,0,0,7,0,0,Textiles,10,45.0,89.99,10618.82,5310.0
SKU_WATCH,2026-06-22,63,1,0,7,1,0,Textiles,10,45.0,89.99,5669.37,2835.0
SKU_WATCH,2026-06-29,129,0,1,7,0,1,Textiles,10,45.0,89.99,11608.71,5805.0
SKU_WATCH,2026-07-06,145,1,0,7,1,0,Textiles,10,45.0,89.99,13048.55,6525.0
SKU_WATCH,2026-07-13,105,0,0,7,0,0,Textiles,10,45.0,89.99,9448.95,4725.0
SKU_WATCH,2026-07-20,134,1,0,7,1,0,Textiles,10,45.0,89.99,12058.66,6030.0
SKU_WATCH,2026-07-27,113,1,0,7,1,0,Textiles,10,45.0,89.99,10168.87,5085.0
SKU_WATCH,2026-08-03,94,1,0,7,1,0,Textiles,10,45.0,89.99,8459.06,4230.0
SKU_WATCH,2026-08-10,82,1,0,7,1,0,Textiles,10,45.0,89.99,7379.18,3690.0
SKU_WATCH,2026-08-17,120,1,0,7,1,0,Textiles,10,45.0,89.99,10798.8,5400.0
SKU_WATCH,2026-08-24,51,0,0,4,0,0,Textiles,10,45.0,89.99,4589.49,2295.0
